Collection Date 	Site 	Meso - Hard	Meso - Nets	Meso - Foam	Meso - Misc.	Macro - Hard	Macro - Nets 	Macro - Foam	Macro - Misc.	Mega - Hard	Mega - Nets	Mega - Foam	Mega Misc
07/05/2021	Golf Beach (Eilean Dubh)	0	0	0	0	124	30	5	95	0	1	0	1
07/05/2021	North Kyle 	0	0	0	0	125	50	13	52	3	2	0	1
07/05/2021	Arch Cove 3	0	0	0	0	17	32	3	0	1	9	0	0
10/05/2021	Secret Beach 	22	0	8	0	113	50	35	26	6	1	0	0
12/05/2021	Kyle of Durness (Keodale and Sargusm	0	0	0	0	127	54	3	74	3	1	0	0
13/05/2021	Balnakiel Bay 	19	6	34	0	239	198	18	173	2	2	0	2
14/05/2021	Aodaan Cove	5	0	1	0	109	19	3	27	0	0	0	1
16/05/2021	Sarsgrum (Kyle - Roz's Clean) 	0	0	0	0	131	39	1	42	0	3	0	0
19/05/2021	Arch Cove 	0	0	0	0	89	108	8	22	0	0	0	0
20/05/2021	Balnakiel Bay 	16	7	0	0	295	112	12	342	1	0	0	0
22/05/2021	Old Grudie (representative bag)	0	0	0	0	20	84	0	703	0	1	0	0
26/05/2021	Balnakiel Bay 	4	5	1	0	162	112	1	158	0	1	0	3
02/06/2021	Balnakiel Bay 	6	2	0	0	211	127	1	512	0	0	0	2
03/06/2021	Arch Cove	0	0	0	0	120	114	1	28	0	1	0	1
03/06/2021	Arch Cove 2	0	0	0	0	112	125	2	8	1	3	0	0
03/06/2021	Arch Cove 3	8	0	2	0	60	46	0	3	0	2	1	1
04/06/2021	Secret Beach 	3	0	2	0	113	92	4	2	2	3	0	0
07/06/2021	Sarsgrum	0	0	0	2	105	49	1	105	0	0	0	2
07/06/2021	Kleodale 	0	0	0	0	77	30	0	47	0	0	0	0
09/06/2021	Balnakiel Bay 	2	0	4	0	213	71	6	191	0	0	0	0
16/06/2021	Balnakiel Bay 	0	0	0	0	126	34	0	112	0	0	0	0
17/06/2021	Faraid Head	0	0	0	0	15	11	0	2	0	0	0	0
17/06/2021	Smoo - Bagh Geal 	0	0	0	0	20	13	12	2	0	0	0	1
20/06/2021	Aodaan Cove	0	0	0	0	62	74	4	7	0	1	0	0
21/06/2021	Aodaan Cove	0	0	0	0	224	33	0	103	1	1	0	2
24/06/2021	Balnakiel Bay 	23	0	0	0	120	36	0	89	0	0	0	0
25/06/2021	Scouriemore	0	0	0	0	50	0	0	0	10	4	0	0
28/06/2021	Arch Cove	0	0	0	0	46	28	0	12	0	0	0	0
28/06/2021	Arch Cove 2	0	0	0	0	49	33	4	2	2	0	0	0
01/07/2021	Balnakiel Bay 	0	0	0	0	151	70	0	131	0	0	0	0
02/07/2021	Kyle of Tongue 	0	0	0	0	36	10	3	10	0	2	0	1
02/07/2021	Sarsgrum (Kyle - Roz's Clean) 	0	0	0	0	113	67	0	219	0	0	0	0
03/07/2021	Secret Beach 	0	0	0	0	62	33	20	3	0	1	0	0
12/07/2021	Balnakiel Bay 	12	0	0	0	139	82	2	152	0	0	0	0
13/07/2021	Eilean Dubh	0	0	0	0	201	55	0	115	0	3	0	1
21/07/2021	Balnakiel Bay 	26	0	0	14	101	65	0	117	0	0	1	0
25/07/2021	Sango Sands	5	0	2	0	115	49	0	65	0	0	0	0
27/07/2021	Aodaan Cove	0	0	0	0	326	132	0	122	0	0	1	0
29/07/2021	Balnakiel Bay 	10	0	0	0	114	106	0	85	0	1	1	0
02/08/2021	Sarsgrum 	0	5	0	0	88	65	0	126	3	3	0	2
03/08/2021	Balnakeil Rock Pools	0	0	0	0	78	20	4	93	0	1	0	0
05/08/2021	Balnakiel Bay 	16	3	0	0	85	79	3	116	0	0	0	1
09/08/2021	Arch Cove 	5	0	3	1	73	67	5	18	0	1	0	0
10/08/2021	Eilean Dubh	0	0	0	0	86	40	0	133	0	0	0	0
11/08/2021	Old Grudie (representative bag)	0	0	0	0	101	12	0	276	0	1	0	2
12/08/2021	Balnakiel Bay	13	2	0	0	60	44	5	93	0	0	0	0
14/08/2021	NE Kyle	4	0	0	0	36	11	1	13	1	0	0	0
16/08/2021	Sangobeg Quarry 	0	0	0	0	52	18	17	9	3	4	0	0
17/08/2021	Balnakiel Bay 	23	10	0	0	111	83	2	93	2	0	0	0
18/08/2021	Faraid Head	0	0	0	0	10	8	3	0	1	0	0	1
28/08/2021	Balnakeil Bay	27	0	0	0	55	37	0	76	0	0	0	0
30/08/2021	Faraid Head	0	0	0	0	45	57	34	0	0	0	0	0
31/08/2021	Oldshoremore	24	0	0	0	140	74	2	3	0	0	0	0
31/08/2021	Scouriemore	0	0	0	0	47	2	0	0	1	0	0	0
01/09/2021	Aodaan Cove	12	0	0	0	142	57	18	46	0	1	0	0
02/09/2021	Aodaan Cove	0	0	0	0	312	89	0	366	1	5	0	5
03/09/2021	Balnakeil Bay 	13	0	0	0	88	77	2	74	0	0	0	1
06/09/2021	Arch Cove 	7	0	0	0	59	52	0	17	0	1	0	0
07/09/2021	Eilean Dubh	0	0	0	0	87	30	0	54	0	0	0	0
08/09/2021	Loch Eriboll (near Portnacon)	0	0	0	0	78	82	2	13	2	17	0	0
10/09/2021	Balnakeil Bay 	21	0	0	0	123	68	6	61	0	0	0	0
13/09/2021	Sarsgrum 	3	0	0	10	137	86	0	240	0	1	0	1
14/09/2021	Balnakeil Rock Pools	5	0	0	0	19	5	0	13	0	0	0	0
15/09/2021	Secret Beach 	4	0	7	0	79	58	3	9	0	0	0	0
15/09/2021	Sango Sands	5	0	0	0	69	23	0	13	0	0	0	0
17/09/2021	Balnakeil Bay 	12	0	0	0	324	42	0	244	0	1	0	0
21/09/2021	Aodaan Cove	0	0	0	0	45	33	0	12	1	0	0	0
22/09/2021	Balnakeil Bay 	9	0	0	0	107	43	0	56	1	0	0	0
29/09/2021	Eilean Dubh	0	0	0	0	81	18	0	49	0	0	0	0
01/10/2021	Balnakeil Bay 	30	0	0	0	181	87	5	64	2	1	0	0
04/10/2021	Aodaan Cove	0	0	0	0	99	5	2	78	0	0	0	0
05/10/2021	Keodale 	0	0	0	0	71	38	1	29	0	0	0	0
08/10/2021	Balnakeil 	55	21	0	0	285	174	0	210	1	0	0	1
11/10/2021	Arch Cove	0	0	0	0	126	55	22	13	0	0	0	0
12/10/2021	Sarsgrum 	0	0	0	0	156	24	0	148	0	1	0	0
15/10/2021	Balnakeil Bay 	44	0	0	0	202	44	3	178	0	0	0	0
19/10/2021	Eilean Dubh	0	0	0	0	33	4	0	80	0	0	0	1
20/10/2021	Secret Beach 	5	0	0	0	14	48	3	2	0	0	0	0
21/10/2021	Balnakeil Bay 	12	0	0	0	83	112	4	78	1	0	0	1
