Date 	Site 	Meso - Hard	Meso - Nets	Meso - Foam	Meso - Misc.	Macro - Hard	Macro - Nets 	Macro - Foam	Macro - Misc.	Mega - Hard	Mega - Nets	Mega - Foam	Mega Misc
07/05/2021	Golf Beach (Eilean Dubh)	0	0	0	0	3.5	1	0	5.5	0	1.5	0	1
07/05/2021	North Kyle 	0	0	0	0	2.5	1	0	2.5	5.5	3	0	1
07/05/2021	Arch Cove 3	0	0	0	0	1	0.5	0	0	1	100	0	0
10/05/2021	Secret Beach	0.01	0	0	0	4	1.5	0.1	1.5	50.5	1	0	0
12/05/2021	Kyle of Durness 	0	0	0	0	3	1	0	3	2.5	1	0	0
13/05/2021	Balnakiel Bay 	0.009	0.003	0.034	0	4.5	2.5	0.081	6	0.5	1.5	0	5
14/05/2021	Aodann Cove	0.003	0	0	0.001	3	1	0.017	0.5	0	0	0	12.5
16/05/2021	Sarsgrum (Kyle - Roz's Clean) 	0	0	0	0	4	2.5	0	0.5	0	3.5	0	0
19/05/2021	Arch Cove	0	0	0	0	2	2	0.5	4.5	0	0	0	0
20/05/2021	Balnakiel Bay 	0.007	0.003	0	0	2.5	2	0.1	9	0.5	0	0	0
22/05/2021	Old Grudie (Representative Bag)	0	0	0	0	0.1	2	0	22	0	1	0	0
26/05/2021	Balnakiel Bay 	0	0	0	0	1.5	1.5	0	7	0	0.1	0	3
02/06/2021	Balnakiel Bay 	0.025	0.001	0	0	2	1.5	0	5.5	0	0	0	0.5
03/06/2021	Arch Cove	0	0	0	0	2.5	3	0	1.5	0	3.5	0	3.5
03/06/2021	Arch Cove 2 	0	0	0	0	6	1.5	0	0.5	0.5	1.5	0	0
03/06/2021	Arch Cove 3	0.004	0	0	0	1.5	1	0	0.1	0	1	0.1	10
04/06/2021	Secret Beach	0.002	0	0.001	0	3	1.5	0.1	0.5	4.5	0.5	0	0
07/06/2021	Sarsgrum	0	0	0	0.002	0.3	0.1	0	1	0	0	0	2.5
07/06/2021	Kleodale	0	0	0	0	0.2	0.1	0	1	0	0	0	0
09/06/2021	Balnakiel Bay 	0.004	0	0.002	0	2	0.5	0.03	4	0	0	0	0
16/06/2021	Balnakiel Bay 	0	0	0	0	1.5	0.1	0	5	0	0	0	0
17/06/2021	Faraid Head	0	0	0	0	2.5	1.5	0	0.1	0	0	0	0
17/06/2021	Smoo - Bagh Geal	0	0	0	0	1.5	1	0.118	0.1	0	0	0	1
20/06/2021	Aodann Cove	0	0	0	0	1	1.5	0.1	0.5	0	1.5	0	0
21/06/2021	Aodann Cove	0	0	0	0	4	1	0	3	2	0.5	0	1
24/06/2021	Balnakiel Bay 	0.02	0	0	0	1	0.5	0	4.5	0	0	0	0
25/06/2021	Scouriemore	0	0	0	0	1	0	0	0	6.5	8.5	0	0
28/06/2021	Arch Cove	0	0	0	0	3	0.5	0	1	0	0	0	0
28/06/2021	Arch Cove 2 	0	0	0	0	0.5	0.5	0.015	0.275	1	0	0	0
01/07/2021	Balnakiel Bay 	0	0	0	0	2	0.8	0	3.5	0	0	0	0
02/07/2021	Kyle of Tongue	0	0	0	0	1	0.1	0.006	1	0	2.5	0	1.5
02/07/2021	Sarsgrum (Kyle - Roz's Clean) 	0	0	0	0	0.75	0.1	0	2	0	0	0	0
03/07/2021	Secret Beach	0	0	0	0	1.5	0.5	0.017	1	0	0.1	0	0
12/07/2021	Balnakiel Bay 	0.01	0	0	0	0.5	0.5	0	2.5	0	0	0	0
13/07/2021	Eilean Dubh 	0	0	0	0	1.5	0.5	0	3	0	4.5	0	0.1
21/07/2021	Balnakiel Bay 	0.012	0	0	0.015	1.5	2	0	2	0	0	0.5	0
25/07/2021	Sango Sands	0.004	0	0.001	0	1	0.5	0	0.5	0	0	0	0
27/07/2021	Aodann Cove	0	0	0	0	3.5	3.5	0	5	0	0	1	0
29/07/2021	Balnakiel Bay 	0.012	0	0	0	2	1.5	0	4.5	0	0.5	0.25	0
02/08/2021	Sarsgrum 	0.005	0	0	0	1	0.5	0	2.5	2.5	1	0	3
03/08/2021	Balnakeil Rock pools 	0	0	0	0	0.5	0.25	0.07	1.5	0	1	0	0
05/08/2021	Balnakiel Bay	0.012	0.007	0	0	1	0.5	0.02	1.15	0	0	0	10.5
09/08/2021	Arch Cove 	0.002	0	0.001	0.001	2	1.5	0.037	1.5	0	0.1	0	0
10/08/2021	Eilean Dubh 	0	0	0	0	1	0.5	0	3	0	0	0	0
11/08/2021	Old Grudie (Representative Bag)	0	0	0	0	3	1	0	7	0	0.5	0	4
12/08/2021	Balnakiel Bay 	0.001	0.001	0	0	0.25	0.25	0.038	3	0	0	0	0
14/08/2021	NE Kyle 	0.002	0	0	0	0.5	0.5	0.007	0.5	0.1	0	0	0
16/08/2021	Sangobeg Quarry 	0	0	0	0	4.5	1	0.25	1.5	3	1	0	0
17/08/2021	Balnakiel Bay 	0.017	0.008	0	0	1.5	1.5	0.1	2	2.5	0	0	0
18/08/2021	Faraid Head	0	0	0	0	1.5	0.1	0.1	0	6.5	0	0	1
28/08/2021	Balnakeil Bay 	0.03	0	0	0	1.5	1	0	2.5	0	0	0	0
30/08/2021	Faraid Head	0	0	0	0	8.5	1.5	1.5	0	0	0	0	0
31/08/2021	Oldshoremore	0.03	0	0	0	1	1.5	0.01	0.5	0	0	0	0
31/08/2021	Scouriemore	0	0	0	0	34.5	0.5	0	0	5	0	0	0
01/09/2021	Aodann Cove	0.008	0	0	0	1.5	0.5	0.1	0.5	0	0.75	0	0
02/09/2021	Aodann Cove	0	0	0	0	2.5	1.5	0	7.5	0.25	1.5	0	1.5
03/09/2021	Balnakeil Bay 	0.012	0	0	0	2	1.5	0.008	74	0	0	0	1
06/09/2021	Arch Cove 	0.005	0	0	0	1	2	0	1.5	0	0.5	0	0
07/09/2021	Eilean Dubh 	0	0	0	0	1	0.5	0	2.5	0	0	0	0
08/09/2021	Loch Eriboll (near Portnacon)	0	0	0	0	3.5	4	0.1	2	1	9	0	0
10/09/2021	Balnakeil Bay 	0.018	0	0	0	1	1.5	0.01	3	0	0	0	0
13/09/2021	Sarsgrum 	0.004	0	0	0.012	1	1	0	5	1	0	0	2
14/09/2021	Balnakeil Rock pools 	0.006	0	0	0	0.1	0.01	0	1	0	0	0	0
15/09/2021	Secret Beach	0.001	0.001	0	0	0.5	2	0.05	0.1	0	0	0	0
15/09/2021	Sango Sands	0.007	0	0	0	0.5	0.75	0	2	0	0	0	0
17/09/2021	Balnakeil Bay 	0.01	0	0	0	3.5	1.5	0	7	0	12.5	0	0
21/09/2021	Aodann Cove	0	0	0	0	1.5	1	0	0	4	0	0	0
22/09/2021	Balnakeil Bay 	0.007	0	0	0	2	2	0	2.5	1	0	0	0
29/09/2021	Eilean Dubh 	0	0	0	0	1.5	1.5	0	3.5	0	0	0	0
01/10/2021	Balnakeil Bay 	0.04	0	0	0	2.5	1.5	0.012	2	8	1	0	0
04/10/2021	Aodann Cove	0	0	0	0	1	1	0.005	3.5	0	0	0	0
05/10/2021	Keodale 	0	0	0	0	2	1	0.5	1.5	0	0	0	0
08/10/2021	Balnakeil Bay 	0.1	0.034	0	0	2	2	0	3.5	1	0	0	3.5
11/10/2021	Arch Cove 	0	0	0	0	2.5	1.5	0.1	1	0	0	0	0
12/10/2021	Sarsgrum 	0	0	0	0	2	0.5	0	2.5	0	8	0	0
16/10/2021	Balnakeil Bay 	0.05	0	0	0	5	1	0.07	3.5	0	0	0	0
19/10/2021	Eilean Dubh 	0	0	0	0	1	0.5	0	3	0	0	0	1
20/10/2021	Secret Beach	0.003	0	0	0	0.5	3	0.02	0	0	0	0	0
21/10/2021	Balnakeil Bay 	0.01	0	0	0	1.5	2	0.04	2	2	0	0	1.5
